symbol,yahooSymbol,name,sector
VALE,VALE.MX,Vale S.A.,Materials
RIO,RIO.MX,Rio Tinto,Materials
BHP,BHP.MX,BHP Group,Materials
NEE,NEE.MX,NextEra Energy,Utilities
DUK,DUK.MX,Duke Energy,Utilities
SO,SO.MX,Southern Company,Utilities
D,D.MX,Dominion Energy,Utilities
AEP,AEP.MX,American Electric Power,Utilities
SRE,SRE.MX,Sempra,Utilities
XEL,XEL.MX,Xcel Energy,Utilities
ED,ED.MX,Consolidated Edison,Utilities
EXC,EXC.MX,Exelon Corporation,Utilities
AWK,AWK.MX,American Water Works,Utilities
PLD,PLD.MX,Prologis Inc.,REIT
AMT,AMT.MX,American Tower,REIT
CCI,CCI.MX,Crown Castle,REIT
EQIX,EQIX.MX,Equinix Inc.,REIT
SPG,SPG.MX,Simon Property Group,REIT
PSA,PSA.MX,Public Storage,REIT
O,O.MX,Realty Income,REIT
DLR,DLR.MX,Digital Realty Trust,REIT
WELL,WELL.MX,Welltower Inc.,REIT
AVB,AVB.MX,AvalonBay Communities,REIT
T,T.MX,AT&T Inc.,Telecom
VZ,VZ.MX,Verizon Communications,Telecom
TMUS,TMUS.MX,T-Mobile US,Telecom
CMCSA,CMCSA.MX,Comcast Corporation,Telecom
CHTR,CHTR.MX,Charter Communications,Telecom
WBD,WBD.MX,Warner Bros. Discovery,Media
PARA,PARA.MX,Paramount Global,Media
EA,EA.MX,Electronic Arts,Media
TTWO,TTWO.MX,Take-Two Interactive,Media
SONY,SONY.MX,Sony Group,Media
NTDOY,NTDOY.MX,Nintendo Co.,Media
LHX,LHX.MX,L3Harris Technologies,Aerospace
TDG,TDG.MX,TransDigm Group,Aerospace
HWM,HWM.MX,Howmet Aerospace,Aerospace
HEI,HEI.MX,HEICO Corporation,Aerospace
TM,TM.MX,Toyota Motor,Automotive
HMC,HMC.MX,Honda Motor Co.,Automotive
STLA,STLA.MX,Stellantis N.V.,Automotive
LI,LI.MX,Li Auto Inc.,Automotive
NIO,NIO.MX,NIO Inc.,Automotive
XPEV,XPEV.MX,XPeng Inc.,Automotive
DAL,DAL.MX,Delta Air Lines,Airlines
UAL,UAL.MX,United Airlines Holdings,Airlines
LUV,LUV.MX,Southwest Airlines,Airlines
AAL,AAL.MX,American Airlines Group,Airlines
NU,NU.MX,Nu Holdings (Nubank),Financial
SQM,SQM.MX,Sociedad Química y Minera,Materials
BSBR,BSBR.MX,Banco Santander Brasil,Financial
PBR,PBR.MX,Petrobras,Energy
ITUB,ITUB.MX,Itaú Unibanco,Financial
BBD,BBD.MX,Banco Bradesco,Financial
CPA,CPA.MX,Copa Holdings,Airlines
GLOB,GLOB.MX,Globant S.A.,Technology
DLO,DLO.MX,DLocal Limited,Software
SAP,SAP.MX,SAP SE,Technology
ASML,ASML.MX,ASML Holding,Technology
SIE,SIE.MX,Siemens AG,Industrial
LYG,LYG.MX,Lloyds Banking Group,Financial
HSBC,HSBC.MX,HSBC Holdings,Financial
CS,CS.MX,Credit Suisse Group,Financial
DB,DB.MX,Deutsche Bank,Financial
ING,ING.MX,ING Groep,Financial
ERIC,ERIC.MX,Ericsson,Technology
NOK,NOK.MX,Nokia Corporation,Technology
SAN,SAN.MX,Banco Santander,Financial
BBVA,BBVA.MX,Banco Bilbao Vizcaya Argentaria,Financial
TEF,TEF.MX,Telefónica,Telecom
BIDU,BIDU.MX,Baidu Inc.,Technology
BYDDY,BYDDY.MX,BYD Company,Automotive
NTES,NTES.MX,NetEase Inc.,Technology
TCEHY,TCEHY.MX,Tencent Holdings,Technology
BILI,BILI.MX,Bilibili Inc.,Media
GOLD,GOLD.MX,Barrick Gold,Mining
AEM,AEM.MX,Agnico Eagle Mines,Mining
WPM,WPM.MX,Wheaton Precious Metals,Mining
SCCO,SCCO.MX,Southern Copper,Mining
TECK,TECK.MX,Teck Resources,Mining
TLRY,TLRY.MX,Tilray Brands,Consumer Products
ENPH,ENPH.MX,Enphase Energy,Clean Energy
SEDG,SEDG.MX,SolarEdge Technologies,Clean Energy
FSLR,FSLR.MX,First Solar,Clean Energy
PLUG,PLUG.MX,Plug Power,Clean Energy
RUN,RUN.MX,Sunrun Inc.,Clean Energy
SPY,SPY.MX,SPDR S&P 500 ETF,ETF
QQQ,QQQ.MX,Invesco QQQ Trust (NASDAQ-100),ETF
IWM,IWM.MX,iShares Russell 2000 ETF,ETF
DIA,DIA.MX,SPDR Dow Jones Industrial ETF,ETF
EEM,EEM.MX,iShares MSCI Emerging Markets ETF,ETF
VTI,VTI.MX,Vanguard Total Stock Market ETF,ETF
VOO,VOO.MX,Vanguard S&P 500 ETF,ETF
VEA,VEA.MX,Vanguard FTSE Developed Markets ETF,ETF
GLD,GLD.MX,SPDR Gold Shares,ETF
SLV,SLV.MX,iShares Silver Trust,ETF
XLF,XLF.MX,Financial Select Sector SPDR,ETF
XLK,XLK.MX,Technology Select Sector SPDR,ETF
XLE,XLE.MX,Energy Select Sector SPDR,ETF
XLV,XLV.MX,Health Care Select Sector SPDR,ETF
ARKK,ARKK.MX,ARK Innovation ETF,ETF
ARKG,ARKG.MX,ARK Genomic Revolution ETF,ETF
EWW,EWW.MX,iShares MSCI Mexico ETF,ETF
EWZ,EWZ.MX,iShares MSCI Brazil ETF,ETF
FXI,FXI.MX,iShares China Large-Cap ETF,ETF
TLT,TLT.MX,iShares 20+ Year Treasury Bond ETF,ETF
HYG,HYG.MX,iShares iBoxx High Yield Corp Bond ETF,ETF
LQD,LQD.MX,iShares Investment Grade Corp Bond ETF,ETF
AGG,AGG.MX,iShares Core U.S. Aggregate Bond ETF,ETF
BND,BND.MX,Vanguard Total Bond Market ETF,ETF
IEMG,IEMG.MX,iShares Core MSCI Emerging Markets ETF,ETF
KWEB,KWEB.MX,KraneShares CSI China Internet ETF,ETF
SMH,SMH.MX,VanEck Semiconductor ETF,ETF
XBI,XBI.MX,SPDR S&P Biotech ETF,ETF
SOXX,SOXX.MX,iShares Semiconductor ETF,ETF
